p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.30720794855074e-162	0.931909581957422	0.515	0.242	1.35355031519838e-157	4	NDUFA7
8.79825973601366e-162	0.830239260862931	0.493	0.224	2.24390816307292e-157	4	HSPBP1
1.14096249870331e-161	0.908310080192778	0.495	0.227	2.90991075669291e-157	4	SLC25A11
1.28813691499699e-161	1.00985868575911	0.418	0.173	3.28526438800832e-157	4	NXT1
2.02329149223135e-161	1.07602475036105	0.37	0.144	5.16020262178684e-157	4	MPHOSPH6
2.09544849571655e-161	0.833891083720772	0.578	0.293	5.34423184347549e-157	4	EMP2
4.17882609855644e-161	0.819422614371297	0.777	0.499	1.06576780817583e-156	4	PSMB1
6.55339462601935e-161	0.877750082118901	0.471	0.208	1.67137776541997e-156	4	FARSA
6.66328194607973e-161	0.860423323588986	0.668	0.367	1.69940342752817e-156	4	XRCC5
7.30877323465908e-161	0.551817938155217	0.953	0.769	1.86402952576745e-156	4	NACA
7.51841475391997e-161	0.817346647694447	0.7	0.414	1.91749649883975e-156	4	RAD23A
1.21547506082392e-160	1.11042093248136	0.306	0.105	3.09994759512532e-156	4	POLR2D
1.23533435403667e-160	1.04228723109148	0.307	0.106	3.15059673653512e-156	4	TIMM21
1.33859412188051e-160	0.902578046709235	0.598	0.315	3.41395044844405e-156	4	OLA1
1.84125892336736e-160	0.477122736143628	0.994	0.896	4.69594675815611e-156	4	RPL37
2.53055215892673e-160	1.18524171648929	0.422	0.18	6.45392022612673e-156	4	SDHAF3
3.80668307183902e-160	0.710826747966435	0.548	0.264	9.70856450641824e-156	4	DAZAP1
3.87527836511456e-160	0.752056875235044	0.784	0.505	9.88350994238818e-156	4	NDUFV2
4.46853563348957e-160	0.940885932574028	0.45	0.195	1.13965532796518e-155	4	U2AF1
4.52767907189078e-160	0.715208414592767	0.699	0.388	1.15473927049502e-155	4	CCDC124
5.82759278048581e-160	0.815831018071711	0.65	0.352	1.4862692627351e-155	4	GSTO1
1.29746726308185e-159	1.41729349653752	0.292	0.099	3.30906050776395e-155	4	PSAT1
1.98282743150844e-159	0.649657840222015	0.867	0.605	5.05700308131912e-155	4	RPS10
2.49926746663377e-159	1.00098014935994	0.529	0.257	6.37413174690277e-155	4	PSMA2
4.76802991567438e-159	0.662093596104235	0.876	0.611	1.21603834969359e-154	4	CHCHD10
9.59149168261895e-159	0.99848798297418	0.512	0.243	2.44621403873514e-154	4	UBE2V2
1.22474672500052e-158	0.507487546951577	0.972	0.822	3.12359404744133e-154	4	RPL24
1.29669424025106e-158	0.577021485249302	0.921	0.759	3.30708899033629e-154	4	HNRNPA2B1
4.06295488997505e-158	1.06334809730967	0.412	0.173	1.03621601513924e-153	4	MRPL9
6.11842786661361e-158	0.928433192064935	0.476	0.215	1.56044384310114e-153	4	PDZD11
6.81276251110537e-158	0.796666011526871	0.596	0.308	1.73752695083231e-153	4	HACD3
6.86664656325958e-158	0.866493029850864	0.727	0.442	1.75126953949372e-153	4	PRDX4
9.37591426859159e-158	0.642974366976832	0.567	0.279	2.3912331750616e-153	4	PPIF
1.07608106409431e-157	0.97217312121701	0.653	0.376	2.74443714586613e-153	4	LDHB
1.10359901046055e-157	0.774489915699446	0.752	0.465	2.8146189162786e-153	4	MRPL57
1.33594316192635e-157	1.07334404362695	0.341	0.127	3.40718944017697e-153	4	PAGR1
1.90969961984618e-157	0.847687682748916	0.64	0.35	4.8704979104557e-153	4	CCT8
2.71091100277959e-157	0.768768564605962	0.644	0.352	6.91390742148906e-153	4	RPP21
2.75127049691216e-157	0.674869797509246	0.663	0.361	7.01684027532476e-153	4	DDX18
3.131789518039e-157	0.954875228592757	0.423	0.178	7.98731598680666e-153	4	IPO5
3.18793897755899e-157	1.02975854413768	0.362	0.14	8.13051956836646e-153	4	CCDC58
1.12256521361005e-156	1.07795045333378	0.25	0.076	2.86299032079107e-152	4	RCCD1
1.13526424803772e-156	0.791738249023557	0.555	0.275	2.89537793819541e-152	4	PGD
1.45972355479751e-156	0.856740535581587	0.443	0.192	3.72287895415556e-152	4	YIF1B
1.4663892131035e-156	0.942454111136717	0.548	0.271	3.73987904909916e-152	4	ESD
1.87255002767948e-156	0.97842420981057	0.529	0.258	4.77575159059375e-152	4	SPR
5.34400958360757e-156	1.10502829045213	0.29	0.098	1.36293620420327e-151	4	LAS1L
6.23842019748753e-156	0.901008115686723	0.554	0.276	1.59104668716722e-151	4	MRPS18C
