sample_id	cluster	cell_type_major	cell_type_minor	cell_state	n_cells	contamination_median	contamination_P90	raw_total_counts	corrected_total_counts	top_marker_genes_expected	raw_top_marker_detected_pairs	corrected_top_marker_detected_pairs	top_marker_cell_pairs	raw_top_marker_count_sum	corrected_top_marker_count_sum	top_marker_detection_retention	top_marker_count_retention	total_count_retention
sample35	9	Epithelial	Pit_surface_mucous_like_epithelial	MUC5AC_CYP3A5_CLDN4_high	348	0.455629265366147	0.828195831738114	929918	630648.711127798	30	1550	1550	10440	2836	2319.50158120335	1	0.817877849507528	0.678176689910076
sample35	3	Epithelial	Gastric_or_intestinal_like_epithelial_malignancy_pending_CNV	mixed_gastric_and_intestinal_program	902	0.432523772088243	0.877812773161983	2558246	1698644.67530677	30	7639	7639	27060	45877	44937.6218097811	1	0.979523983908736	0.663988011827937
sample35	6	Endothelial/Pericyte	Vascular_endothelial	PLVAP_EMCN_high	472	0.425475700883942	0.795347742384225	1104106	749940.661838887	30	3502	3502	14160	8255	8240.32580042288	1	0.998222386483692	0.679228861937972
sample37	15	Endothelial/Pericyte	Pericyte_smooth_muscle_like	contractile	2	0.425073471023767	0.765109541772222	37851	36238.0347151795	30	1	1	60	2	1.99991188237948	1	0.999955941189739	0.957386455184261
sample35	10	T/NK	IFNG_CCL4_CD8_cytotoxic_T	IFNG_CCL4_TNF_high_activated	161	0.424317486662121	0.993765488105427	453942	258963.862850719	30	949	949	4830	3387	2831.42780268218	1	0.835969236103388	0.570477864684738
sample35	2	T/NK	CCR6_IL7R_CD4_like_T	activated_costimulatory_checkpoint_high	466	0.406790983607424	0.940385636542044	1067076	459501.140052279	30	2757	2757	13980	5153	4746.57554800283	1	0.921128575199463	0.430617069498591
sample36	8	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	154	0.393798137103913	0.999632662683021	2338711	1434270.25891459	30	2995	2995	4620	1140423	934260.03374417	1	0.819222370773099	0.613273832856897
sample35	17	Mast	Mast_cell	mast_cell	41	0.392088432174146	0.846191423310748	73529	39925.1209237914	30	317	317	1230	1363	1351.97785835552	1	0.991913322344476	0.542984685277801
sample35	16	Epithelial	Mucous_neck_chief_like_epithelial	MUC6_TFF2_glandular_secretory	237	0.368547666725225	0.75464639667722	680110	520554.417534086	30	2565	2565	7110	25169	22971.6075768439	1	0.912694488332625	0.76539738797266
sample20	9	Epithelial	Pit_surface_mucous_like_epithelial	MUC5AC_CYP3A5_CLDN4_high	52	0.340736973774999	0.832306612780632	123519	84334.5365937968	30	195	195	1560	453	438.890346662251	1	0.968852862389074	0.682765700773134
sample34	19	Epithelial	Chief_like_epithelial	metallothionein_high	31	0.289552919285695	0.845889557719211	170041	112995.510647489	30	148	148	930	1613	1465.93783115731	1	0.908826925701987	0.66451920799977
sample8	8	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	82	0.248660448739182	0.818030686962321	213216	116823.844871863	30	183	183	2460	1073	930.331913520401	1	0.867038130028333	0.547913125055639
sample28	8	B/Plasma	IGHG_high_plasma	IGHG_high_antibody_secreting	559	0.237133707329029	0.999815047525479	7255450	4870526.65552778	30	11071	11071	16770	767776	608372.173529312	1	0.792382379143542	0.671292153557364
sample35	21	Epithelial	Enteroendocrine_epithelial	neuroendocrine_secretory	146	0.235724225930342	0.749679607522133	488144	387605.757675867	30	1517	1517	4380	102056	102040.690007233	1	0.999849984393209	0.79403978677576
sample35	19	Epithelial	Chief_like_epithelial	metallothionein_high	356	0.221566494977469	0.643857333586962	1363380	1159017.00501877	30	6673	6673	10680	450444	447632.78379033	1	0.993759010643564	0.85010562353766
sample22	13	Myeloid	FCN1_S100A8_A9_inflammatory_monocyte	inflammatory	86	0.219654517714794	0.657246488285075	486068	360306.4306447	30	1734	1734	2580	35030	32939.7889674373	1	0.940330829786962	0.741267540024647
sample34	14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	100	0.210133160900017	0.787064679080717	757038	538738.76900032	30	1065	1065	3000	91496	89965.3033469333	1	0.983270343478767	0.711640325849323
sample15	14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	223	0.209511800601682	0.974136786098517	2749561	1924579.87013852	30	3402	3402	6690	559827	524483.491323418	1	0.936867088088674	0.699958964408688
sample16	19	Epithelial	Chief_like_epithelial	metallothionein_high	4	0.185490402252465	0.53339906337397	51748	48495.6905837301	30	21	21	120	1410	1393.68117468144	1	0.988426365022298	0.937151012285115
sample38	5	Fibroblast/CAF	LUM_DCN_PDGFRA_fibroblast	CCL11_CXCL14_stromal_program	163	0.175272068857527	0.610336263403307	2477273	1721525.64104549	30	1841	1841	4890	20395	19586.9498191904	1	0.96037998623145	0.694927705200632
sample38	16	Epithelial	Mucous_neck_chief_like_epithelial	MUC6_TFF2_glandular_secretory	23	0.171053716425925	0.310034226550421	132423	117927.127226812	30	218	218	690	2389	2239.90841752275	1	0.937592472801487	0.890533572165044
sample18	18	B/Plasma	B_or_plasma_like_stress_high	stress_high_likely_dissociation_associated	146	0.16834297603843	0.864745729164831	459335	344505.675681266	30	3803	3803	4380	72373	58889.4594559597	1	0.813693773312695	0.750009634975052
sample17	9	Epithelial	Pit_surface_mucous_like_epithelial	MUC5AC_CYP3A5_CLDN4_high	192	0.164412036557521	0.999040139889222	794001	350665.548998893	30	1309	1309	5760	4750	4612.03783226773	1	0.970955333108996	0.441643712034233
